/home/ccollins/allmols/8/noopt/cam/6hl13la6ea-6ia4dd-4aa4af4ae-.log,6hl13la6ea-6ia4dd-4aa4af4ae-,---,---,---,---,---,---,---,---,---,---
/home/ccollins/allmols/8/noopt/cam/4id13hf-6fl-4hh-4dh13fe-12dh-13la-.log,4id13hf-6fl-4hh-4dh13fe-12dh-13la-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.56906346368,-1.2813840659,225,9.9551,-2916.910594,1.2379,5.26666666667
/home/ccollins/allmols/8/noopt/cam/12hd4ea-12af-4ie6hh6ea4ea13il.log,12hd4ea-12af-4ie6hh6ea4ea13il,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.5113753299,-1.52438172375,214,5.7806,-2683.1231725,0.4864,4.2
/home/ccollins/allmols/8/noopt/cam/6ia6df6di-4ae13ia13ai13ei-12ie-.log,6ia6df6di-4ae13ia13ai13ei-12ie-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.00771097148,-1.64683295112,207,8.9538,-2550.901732,2.1251,3.76666666667
/home/ccollins/allmols/8/noopt/cam/13eh12ha13id-12hf-6il6ie-12ha-13he-.log,13eh12ha13id-12hf-6il6ie-12ha-13he-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.71899818874,-0.966820468492,211,7.8101,-2711.8948708,2.0656,3.96666666667
/home/ccollins/allmols/8/noopt/cam/12la6fi-13hi4le6ah13dl12he6he.log,12la6fi-13hi4le6ah13dl12he6he,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.11408912557,-1.31131658814,225,13.7644,-2880.9272239,0.2735,8.41666666667
/home/ccollins/allmols/8/noopt/cam/6ea13ee12lf-4ef-6lh-13dh6ll-13il-.log,6ea13ee12lf-4ef-6lh-13dh6ll-13il-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.98048123082,-1.4838367618,239,4.4742,-3095.7261337,-0.6766,4.8
/home/ccollins/allmols/8/noopt/cam/6df12ee12ae13ai-6hf4he-4he-4dd-.log,6df12ee12ae13ai-6hf4he-4he-4dd-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.25016440166,-1.58070928834,224,8.2567,-2865.0295887,1.9856,4.6
/home/ccollins/allmols/8/noopt/cam/13dl13da-4df6eh13df12fl-13el-13de-.log,13dl13da-4df6eh13df12fl-13el-13de-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.37069247535,-1.61581197352,231,14.7913,-3064.644118,-0.1079,4.56666666667
/home/ccollins/allmols/8/noopt/cam/12ad6dh4ei-13id-6ff-13dd12el12df-.log,12ad6dh4ei-13id-6ff-13dd12el12df-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.38077904418,-2.11813411954,226,11.9615,-3007.844989,1.0780,5.31666666667
/home/ccollins/allmols/8/noopt/cam/6dd12el-4ae13lf-12ef-12il12ld-13fe-.log,6dd12el-4ae13lf-12ef-12il12ld-13fe-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.23409132838,-1.95105622265,233,7.2457,-3111.1046472,-0.4516,9.91666666667
